43.69345,-79.562658,"235 Dixon Rd, Etobicoke","Dixon Road, Toronto, ON, CA",,MapQuest Open,street
43.691816,-79.501039,"901 Jane St, Toronto","Jane Street, Toronto, ON, CA",,MapQuest Open,street
43.687384,-79.549737,"415 The Westway, Etobicoke","The Westway, Toronto, ON, CA",,MapQuest Open,street
43.682561,-79.731923,"7995 Kennedy Rd S, Brampton","Kennedy Road South, Brampton, ON, CA",,MapQuest Open,street
43.682561,-79.731923,"1 Kennedy Road South, Brampton","Kennedy Road South, Brampton, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"972 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2947 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2485 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2329 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2290 Bloor Street W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.664349,-79.722653,"209 County Court Blvd, Brampton","County Court Boulevard, Brampton, ON, CA",,MapQuest Open,street
43.659906,-79.749595,"495 Charolais Blvd, Brampton","Charolais Boulevard, Brampton, ON, CA",,MapQuest Open,street
43.658316,-79.77033,"9800 Chinguacousy Rd, Brampton","Chinguacousy Road, Brampton, ON, CA",,MapQuest Open,street
43.658316,-79.77033,"8978 Chinguacousy Rd, Brampton","Chinguacousy Road, Brampton, ON, CA",,MapQuest Open,street
43.658316,-79.77033,"8965 Chinguacousy Rd, Brampton","Chinguacousy Road, Brampton, ON, CA",,MapQuest Open,street
43.652718,-79.398944,"4869 Dundas St West, Toronto","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.652718,-79.398944,"3446 Dundas St W, Toronto","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.652718,-79.398944,"1421 Dundas St W, Toronto","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.651608,-79.526387,"2291 Islington Ave, Toronto","Islington Avenue, Toronto, ON, CA",,MapQuest Open,street
43.643202,-79.725807,"10098 Mclaughlin Rd, Brampton","McLaughlin Road, Brampton, ON, CA",,MapQuest Open,street
43.643202,-79.725807,"10010 Mclaughlin Rd, Brampton","McLaughlin Road, Brampton, ON, CA",,MapQuest Open,street
43.6396506,-79.7143429,"7020 St Barbara Blvd, Mississauga","Saint Barbara Boulevard, Brampton, ON, CA",,MapQuest Open,street
43.642588,-79.575462,"2126 Burnhamthorpe Rd, Mississauga","Burnhamthorpe Road, Toronto, ON, CA",,MapQuest Open,street
43.641889,-79.746894,"7970 Mavis Rd, Brampton","Mavis Road, Brampton, ON, CA",,MapQuest Open,street
43.637975,-79.538439,"4860 Dundas St W, Etobicoke","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"5033 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"4557 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"3445 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"2325 Hurontario St,, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"2100 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.621133,-79.695941,"7070 Mclaughlin Rd, Mississauga","McLaughlin Road, Mississauga, ON, CA",,MapQuest Open,street
43.621133,-79.695941,"7030 Mclaughlin Rd, Mississauga","McLaughlin Road, Mississauga, ON, CA",,MapQuest Open,street
43.61418,-79.556478,"30 The Queensway, Toronto","The Queensway, Toronto, ON, CA",,MapQuest Open,street
43.61418,-79.556478,"250 The Queensway, Toronto","The Queensway, Toronto, ON, CA",,MapQuest Open,street
43.61418,-79.556478,"1000 The Queensway, Toronto","The Queensway, Toronto, ON, CA",,MapQuest Open,street
43.614051,-79.744627,"10615 Creditview Rd, Brampton","Creditview Road, Brampton, ON, CA",,MapQuest Open,street
43.614015,-79.705234,"780 Bancroft Drive, Mississauga","Bancroft Drive, Mississauga, ON, CA",,MapQuest Open,street
43.608106,-79.690255,"700 Matheson Blvd W, Mississauga","Matheson Boulevard West, Mississauga, ON, CA",,MapQuest Open,street
43.59691,-79.744832,"2965 Argentia Rd, Mississauga","Argentia Road, Mississauga, ON, CA",,MapQuest Open,street
43.596322,-79.568514,"5014 Dixie Rd, Mississauga","Dixie Road, Mississauga, ON, CA",,MapQuest Open,street
43.592024,-79.602982,"1530 Dundas St E, Mississauga","Dundas Street East, Mississauga, ON, CA",,MapQuest Open,street
43.585072,-79.550104,"579 Lakeshore Rd E, Mississauga","Lakeshore Road East, Mississauga, ON, CA",,MapQuest Open,street
43.583992,-79.761509,"6720 Meadowvale Town, Mississauga","Meadowvale Town Centre Circle, Mississauga, ON, CA",,MapQuest Open,street
43.574297,-79.614498,"4175 Confederation Pkwy, Mississauga","Confederation Parkway, Mississauga, ON, CA",,MapQuest Open,street
43.574297,-79.614498,"4056 Confederation Parkway, Mississauga","Confederation Parkway, Mississauga, ON, CA",,MapQuest Open,street
43.569225,-79.601364,"1 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.562332,-79.7113,"4530 Erin Mills Pkwy, Mississauga","Erin Mills Parkway, Mississauga, ON, CA",,MapQuest Open,street
43.557397,-79.642878,"1224 Dundas St W, Mississauga","Dundas Street West, Mississauga, ON, CA",,MapQuest Open,street
43.538989,-79.663835,"2 Dundas St W, Mississauga","Dundas Street West, Mississauga, ON, CA",,MapQuest Open,street
43.53192,-79.833699,"6788 Derry Rd W, Milton","Derry Road West, Milton, ON, CA",,MapQuest Open,street
43.529097,-79.648289,"1910 Fowler Dr, Mississauga","Fowler Drive, Mississauga, ON, CA",,MapQuest Open,street
43.522741,-79.896699,"640 Martin Street, Milton","Martin Street, Milton, ON, CA",,MapQuest Open,street
43.516528,-79.63727,"920 Southdown Road, Mississauga","Southdown Road, Mississauga, ON, CA",,MapQuest Open,street
43.48922,-79.880392,"1580 Derry Road, Milton","Derry Road, Milton, ON, CA",,MapQuest Open,street
43.485773,-79.716728,"562 Trafalgar Rd, Oakville","Trafalgar Road, Oakville, ON, CA",,MapQuest Open,street
43.481036,-79.722456,"309 Hays Blvd, Oakville","Hays Boulevard, Oakville, ON, CA",,MapQuest Open,street
43.472906,-79.736052,"520 Dundas St W, Oakville","Dundas Street West, Oakville, ON, CA",,MapQuest Open,street
43.447124,-79.686462,"1005 Speers Rd, Oakville","Speers Road, Oakville, ON, CA",,MapQuest Open,street
43.443053,-79.68046,"520 Kerr St, Oakville","Kerr Street, Oakville, ON, CA",,MapQuest Open,street
43.438618,-79.710019,"220 North Service Rd W, Oakville","North Service Road West, Oakville, ON, CA",,MapQuest Open,street
43.367778,-79.7544,"2495 Appleby Line, Burlington","Appleby Line, Burlington, ON, CA",,MapQuest Open,street
43.367778,-79.7544,"2080 Appleby Line, Burlington","Appleby Line, Burlington, ON, CA",,MapQuest Open,street
